id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,text_to_embed
27152,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Mark Taylor Men Striped Blue Shirt,productDisplayName: Mark Taylor Men Striped Blue Shirt | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2012 | usage: Formal
57993,Women,Apparel,Dress,Dresses,Beige,Fall,2012.0,Casual,Latin Quarters Women Beige Dress,productDisplayName: Latin Quarters Women Beige Dress | articleType: Dresses | subCategory: Dress | masterCategory: Apparel | baseColour: Beige | gender: Women | season: Fall | year: 2012 | usage: Casual
24589,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Vishudh Women Brown Printed Kurta,productDisplayName: Vishudh Women Brown Printed Kurta | articleType: Kurtas | subCategory: Topwear | masterCategory: Apparel | baseColour: Brown | gender: Women | season: Fall | year: 2011 | usage: Ethnic
11580,Women,Apparel,Topwear,Kurtas,White,Summer,2011.0,Ethnic,W Women Printed White Kurtas,productDisplayName: W Women Printed White Kurtas | articleType: Kurtas | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Women | season: Summer | year: 2011 | usage: Ethnic
3989,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Mr.Men Men's Surfer Chilly Pepper Maroon T-shirt,productDisplayName: Mr.Men Men's Surfer Chilly Pepper Maroon T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Maroon | gender: Men | season: Summer | year: 2011 | usage: Casual
19430,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2012.0,Casual,Quiksilver Men Grey Hammonds Cargo Shorts,productDisplayName: Quiksilver Men Grey Hammonds Cargo Shorts | articleType: Shorts | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Grey | gender: Men | season: Summer | year: 2012 | usage: Casual
24458,Women,Footwear,Flip Flops,Flip Flops,Purple,Summer,2012.0,Casual,Nike Women Solarsoft Thong Purple Flip Flops,productDisplayName: Nike Women Solarsoft Thong Purple Flip Flops | articleType: Flip Flops | subCategory: Flip Flops | masterCategory: Footwear | baseColour: Purple | gender: Women | season: Summer | year: 2012 | usage: Casual
9826,Women,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Little Miss Women Printed Green T-shirt,productDisplayName: Little Miss Women Printed Green T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Green | gender: Women | season: Fall | year: 2011 | usage: Casual
14713,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Formal,Genesis Men Solid Brown Trousers,productDisplayName: Genesis Men Solid Brown Trousers | articleType: Trousers | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Brown | gender: Men | season: Fall | year: 2011 | usage: Formal
26594,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Jago Ripstop White Sports Shoes,productDisplayName: Puma Men Jago Ripstop White Sports Shoes | articleType: Sports Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: White | gender: Men | season: Summer | year: 2012 | usage: Sports
6519,Men,Apparel,Bottomwear,Track Pants,Blue,Summer,2011.0,Sports,Nike Men Soccer Liga Black Track Pant,productDisplayName: Nike Men Soccer Liga Black Track Pant | articleType: Track Pants | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2011 | usage: Sports
20755,Women,Footwear,Shoes,Casual Shoes,Blue,Fall,2011.0,Casual,Carlton London Women Peep Toe Denim Blue Casual shoes,productDisplayName: Carlton London Women Peep Toe Denim Blue Casual shoes | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Blue | gender: Women | season: Fall | year: 2011 | usage: Casual
6654,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2011.0,Casual,Nike Men's Chinook Thong Brown Flip Flop,productDisplayName: Nike Men's Chinook Thong Brown Flip Flop | articleType: Flip Flops | subCategory: Flip Flops | masterCategory: Footwear | baseColour: Brown | gender: Men | season: Summer | year: 2011 | usage: Casual
21896,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,BIBA Women Printed Blue Kurta,productDisplayName: BIBA Women Printed Blue Kurta | articleType: Kurtas | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Women | season: Fall | year: 2011 | usage: Ethnic
19663,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,United Colors of Benetton Women White Top,productDisplayName: United Colors of Benetton Women White Top | articleType: Tops | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Women | season: Summer | year: 2011 | usage: Casual
29166,Girls,Apparel,Dress,Dresses,Navy Blue,Summer,2012.0,Casual,United Colors of Benetton Girls Polka Dot Navy Blue Dress,productDisplayName: United Colors of Benetton Girls Polka Dot Navy Blue Dress | articleType: Dresses | subCategory: Dress | masterCategory: Apparel | baseColour: Navy Blue | gender: Girls | season: Summer | year: 2012 | usage: Casual
14531,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Mark Taylor Men Printed Green Tshirts,productDisplayName: Mark Taylor Men Printed Green Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Green | gender: Men | season: Fall | year: 2011 | usage: Casual
39841,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Gini and Jony Girls Striped Pink Top,productDisplayName: Gini and Jony Girls Striped Pink Top | articleType: Tops | subCategory: Topwear | masterCategory: Apparel | baseColour: Pink | gender: Girls | season: Summer | year: 2012 | usage: Casual
53124,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Myntra Women Pink T-shirt,productDisplayName: Myntra Women Pink T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Pink | gender: Women | season: Summer | year: 2012 | usage: Casual
34172,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Gini and Jony Boys Printed Yellow T-shirt,productDisplayName: Gini and Jony Boys Printed Yellow T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Yellow | gender: Boys | season: Summer | year: 2012 | usage: Casual
9345,Men,Apparel,Bottomwear,Shorts,Green,Fall,2011.0,Casual,Puma Men Checks Green Shorts,productDisplayName: Puma Men Checks Green Shorts | articleType: Shorts | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Green | gender: Men | season: Fall | year: 2011 | usage: Casual
14650,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Probase Men Face Print Blue Tshirts,productDisplayName: Probase Men Face Print Blue Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Fall | year: 2011 | usage: Casual
53412,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012.0,Ethnic,Alma Women Blue Printed Kurta,productDisplayName: Alma Women Blue Printed Kurta | articleType: Kurtas | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Women | season: Fall | year: 2012 | usage: Ethnic
34295,Women,Apparel,Topwear,Dupatta,Orange,Summer,2012.0,Ethnic,Fabindia Orange Silk Dupatta,productDisplayName: Fabindia Orange Silk Dupatta | articleType: Dupatta | subCategory: Topwear | masterCategory: Apparel | baseColour: Orange | gender: Women | season: Summer | year: 2012 | usage: Ethnic
24599,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Mr. Men Men Purple Printed T-shirt,productDisplayName: Mr. Men Men Purple Printed T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Purple | gender: Men | season: Fall | year: 2011 | usage: Casual
48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,French Connection Men Blue Jeans,productDisplayName: French Connection Men Blue Jeans | articleType: Jeans | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2012 | usage: Casual
23157,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Blue Printed T-shirt,productDisplayName: Mark Taylor Men Blue Printed T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Fall | year: 2011 | usage: Casual
38974,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,Arrow New York Men Black Check Slim Fit Shirt,productDisplayName: Arrow New York Men Black Check Slim Fit Shirt | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Black | gender: Men | season: Summer | year: 2012 | usage: Formal
44309,Men,Apparel,Bottomwear,Shorts,Brown,Summer,2012.0,Casual,Indian Terrain Men Brown Shorts,productDisplayName: Indian Terrain Men Brown Shorts | articleType: Shorts | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Brown | gender: Men | season: Summer | year: 2012 | usage: Casual
1983,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,ADIDAS Women Graphic Blue T-shirt,productDisplayName: ADIDAS Women Graphic Blue T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Women | season: Fall | year: 2010 | usage: Casual
47642,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2013.0,Casual,Carlton London Men Black Shoes,productDisplayName: Carlton London Men Black Shoes | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Black | gender: Men | season: Winter | year: 2013 | usage: Casual
51214,Women,Footwear,Flip Flops,Flip Flops,Pink,Summer,2012.0,Casual,Globalite Women Pink Sandals,productDisplayName: Globalite Women Pink Sandals | articleType: Flip Flops | subCategory: Flip Flops | masterCategory: Footwear | baseColour: Pink | gender: Women | season: Summer | year: 2012 | usage: Casual
14720,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Casual Top Purple Tops,productDisplayName: Jealous 21 Women Casual Top Purple Tops | articleType: Tops | subCategory: Topwear | masterCategory: Apparel | baseColour: Purple | gender: Women | season: Fall | year: 2011 | usage: Casual
22244,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2011.0,Casual,ID Men Blue Casual Shoes,productDisplayName: ID Men Blue Casual Shoes | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Blue | gender: Men | season: Summer | year: 2011 | usage: Casual
14325,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,ADIDAS Women Printed Pink T-shirt,productDisplayName: ADIDAS Women Printed Pink T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Pink | gender: Women | season: Fall | year: 2011 | usage: Casual
34198,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Proline Men Blue Striped Polo T-shirt,productDisplayName: Proline Men Blue Striped Polo T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2012 | usage: Casual
35808,Women,Footwear,Shoes,Heels,Cream,Summer,2012.0,Casual,Enroute Women Cream Flats,productDisplayName: Enroute Women Cream Flats | articleType: Heels | subCategory: Shoes | masterCategory: Footwear | baseColour: Cream | gender: Women | season: Summer | year: 2012 | usage: Casual
16522,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans,productDisplayName: Locomotive Men Washed Blue Jeans | articleType: Jeans | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Fall | year: 2011 | usage: Casual
11323,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Washed Blue Jeans,productDisplayName: United Colors of Benetton Men Washed Blue Jeans | articleType: Jeans | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Fall | year: 2011 | usage: Casual
9594,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Scul Red White Shirts,productDisplayName: Scullers Men Scul Red White Shirts | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Fall | year: 2011 | usage: Casual
23945,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Provogue Men Printed White T-shirt,productDisplayName: Provogue Men Printed White T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Fall | year: 2011 | usage: Casual
39287,Men,Footwear,Sandal,Sandals,Black,Summer,2018.0,Casual,Red Chief Men Black Sandals,productDisplayName: Red Chief Men Black Sandals | articleType: Sandals | subCategory: Sandal | masterCategory: Footwear | baseColour: Black | gender: Men | season: Summer | year: 2018 | usage: Casual
19051,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Brown Sandals,productDisplayName: Catwalk Women Brown Sandals | articleType: Flats | subCategory: Shoes | masterCategory: Footwear | baseColour: Brown | gender: Women | season: Winter | year: 2015 | usage: Casual
32379,Women,Apparel,Dress,Dresses,Off White,Summer,2012.0,Casual,Arrow Woman Printed Multi Coloured Dress,productDisplayName: Arrow Woman Printed Multi Coloured Dress | articleType: Dresses | subCategory: Dress | masterCategory: Apparel | baseColour: Off White | gender: Women | season: Summer | year: 2012 | usage: Casual
47548,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Ethnic,Portia Women Red Heels,productDisplayName: Portia Women Red Heels | articleType: Heels | subCategory: Shoes | masterCategory: Footwear | baseColour: Red | gender: Women | season: Winter | year: 2012 | usage: Ethnic
56891,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Casual,HM Women Red Flats,productDisplayName: HM Women Red Flats | articleType: Heels | subCategory: Shoes | masterCategory: Footwear | baseColour: Red | gender: Women | season: Winter | year: 2012 | usage: Casual
19787,Men,Apparel,Topwear,Tshirts,White,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid White Tshirt,productDisplayName: U.S. Polo Assn. Men Solid White Tshirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Winter | year: 2016 | usage: Casual
39242,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Summer,2017.0,Casual,Femella Women Pink Nightdress,productDisplayName: Femella Women Pink Nightdress | articleType: Nightdress | subCategory: Loungewear and Nightwear | masterCategory: Apparel | baseColour: Pink | gender: Women | season: Summer | year: 2017 | usage: Casual
51810,Women,Apparel,Loungewear and Nightwear,Nightdress,Black,Summer,2016.0,Casual,Bwitch Black Nightdress,productDisplayName: Bwitch Black Nightdress | articleType: Nightdress | subCategory: Loungewear and Nightwear | masterCategory: Apparel | baseColour: Black | gender: Women | season: Summer | year: 2016 | usage: Casual
50876,Women,Apparel,Saree,Sarees,Green,Summer,2012.0,Ethnic,Prafful Green & Beige Crepe Sari,productDisplayName: Prafful Green & Beige Crepe Sari | articleType: Sarees | subCategory: Saree | masterCategory: Apparel | baseColour: Green | gender: Women | season: Summer | year: 2012 | usage: Ethnic
9984,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Sports,Nike Men As Value Runn Green T-Shirts,productDisplayName: Nike Men As Value Runn Green T-Shirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Green | gender: Men | season: Fall | year: 2011 | usage: Sports
59663,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,FNF Green Printed Evening Wear Sari,productDisplayName: FNF Green Printed Evening Wear Sari | articleType: Sarees | subCategory: Saree | masterCategory: Apparel | baseColour: Green | gender: Women | season: Fall | year: 2012 | usage: Ethnic
4313,Unisex,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Tantra Kid's Unisex Elephant Pink Kidswear,productDisplayName: Tantra Kid's Unisex Elephant Pink Kidswear | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Pink | gender: Unisex | season: Summer | year: 2011 | usage: Casual
22366,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men New Tiger White T-Shirt,productDisplayName: Ed Hardy Men New Tiger White T-Shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Fall | year: 2011 | usage: Casual
4339,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Fila Men's Mythos Black Red Shoe,productDisplayName: Fila Men's Mythos Black Red Shoe | articleType: Sports Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Black | gender: Men | season: Summer | year: 2012 | usage: Sports
17495,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Puma Men Black Drifter Cat II Flip Flops,productDisplayName: Puma Men Black Drifter Cat II Flip Flops | articleType: Flip Flops | subCategory: Flip Flops | masterCategory: Footwear | baseColour: Black | gender: Men | season: Summer | year: 2012 | usage: Casual
56226,Men,Apparel,Loungewear and Nightwear,Night suits,Green,Summer,2016.0,Casual,SDL by Sweet Dreams Men Green & Grey Pyjama Set,productDisplayName: SDL by Sweet Dreams Men Green & Grey Pyjama Set | articleType: Night suits | subCategory: Loungewear and Nightwear | masterCategory: Apparel | baseColour: Green | gender: Men | season: Summer | year: 2016 | usage: Casual
17747,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men Track Cat Black Casual Shoe,productDisplayName: Puma Men Track Cat Black Casual Shoe | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Black | gender: Men | season: Fall | year: 2011 | usage: Casual
26292,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Proline Men Purple Striped Polo T-shirt,productDisplayName: Proline Men Purple Striped Polo T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Purple | gender: Men | season: Summer | year: 2012 | usage: Casual
4090,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Classic Polo Men's Red T-shirt,productDisplayName: Classic Polo Men's Red T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Red | gender: Men | season: Summer | year: 2011 | usage: Casual
24461,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,ADIDAS Men Grey Pural Desman Casual Shoes,productDisplayName: ADIDAS Men Grey Pural Desman Casual Shoes | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Grey | gender: Men | season: Fall | year: 2011 | usage: Casual
16553,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Basics Men White Printed Polo T-shirt,productDisplayName: Basics Men White Printed Polo T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Fall | year: 2011 | usage: Casual
13966,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Solid White Tshirts,productDisplayName: Ed Hardy Men Solid White Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Fall | year: 2011 | usage: Casual
11464,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Light Winter Blue Tshirts,productDisplayName: United Colors of Benetton Men Light Winter Blue Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Fall | year: 2011 | usage: Casual
36223,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Quick Handle White & Black Sports Shoes,productDisplayName: Nike Men Air Quick Handle White & Black Sports Shoes | articleType: Sports Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: White | gender: Men | season: Summer | year: 2012 | usage: Sports
34403,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Back To The 70s Black T-shirt,productDisplayName: Myntra Men Back To The 70s Black T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Black | gender: Men | season: Summer | year: 2012 | usage: Casual
47244,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2013.0,Casual,Playboy Men Blue Shoes,productDisplayName: Playboy Men Blue Shoes | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Blue | gender: Men | season: Summer | year: 2013 | usage: Casual
42653,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Alma Women Black Printed Kurta,productDisplayName: Alma Women Black Printed Kurta | articleType: Kurtas | subCategory: Topwear | masterCategory: Apparel | baseColour: Black | gender: Women | season: Summer | year: 2012 | usage: Ethnic
1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Jiyu Slip On Sneaker,productDisplayName: Puma Men's Jiyu Slip On Sneaker | articleType: Sports Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: White | gender: Men | season: Fall | year: 2010 | usage: Sports
16171,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes,productDisplayName: Enroute Men Leather Black Formal Shoes | articleType: Formal Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Black | gender: Men | season: Fall | year: 2011 | usage: Formal
44914,Men,Apparel,Bottomwear,Track Pants,Blue,Summer,2012.0,Casual,Puma Men Blue Track Pants,productDisplayName: Puma Men Blue Track Pants | articleType: Track Pants | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2012 | usage: Casual
10823,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Grey Polo Tshirts,productDisplayName: Wrangler Men Grey Polo Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Grey | gender: Men | season: Fall | year: 2011 | usage: Casual
33313,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Jack & Jones Men Off White T-shirt,productDisplayName: Jack & Jones Men Off White T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Off White | gender: Men | season: Summer | year: 2012 | usage: Casual
8556,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Probase Men Speed Ski the Best performer Orange Tshirts,productDisplayName: Probase Men Speed Ski the Best performer Orange Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Orange | gender: Men | season: Fall | year: 2011 | usage: Casual
52380,Women,Apparel,Loungewear and Nightwear,Nightdress,Blue,Winter,2015.0,Casual,Red Rose Women Blue Nightdress,productDisplayName: Red Rose Women Blue Nightdress | articleType: Nightdress | subCategory: Loungewear and Nightwear | masterCategory: Apparel | baseColour: Blue | gender: Women | season: Winter | year: 2015 | usage: Casual
11554,Women,Apparel,Topwear,Kurtis,Pink,Summer,2011.0,Ethnic,W Women Printed Pink Kurtis,productDisplayName: W Women Printed Pink Kurtis | articleType: Kurtis | subCategory: Topwear | masterCategory: Apparel | baseColour: Pink | gender: Women | season: Summer | year: 2011 | usage: Ethnic
